method,filter,selectivity,recall_at_10,mean_latency_ms,p50_latency_ms,p95_latency_ms,qps,index_build_time_s,serving_choice,est_indexed_cost,est_bf_cost
sieve,sel100_unfiltered,100.0,0.9980000000000001,0.29143339000086144,0.18931750003048364,0.4093764999623771,3431.315814557296,0.8532483577728271,sieve_indexed[base],800.6367567650246,2072.326583694641
sieve,sel75_label_ne_3,74.633,0.9990000000000001,0.18862196999975822,0.1612064999960694,0.21840670000585752,5301.609351239847,0.5540006160736084,sieve_indexed[sel75_label_ne_3],743.1893753129139,1546.6464069641006
sieve,sel50_label_in_01,51.167,0.9970000000000002,0.3158713599981411,0.14729250000300453,2.170541850000518,3165.8457417788213,0.3511228561401367,sieve_indexed[sel50_label_in_01],672.2285334850027,1060.3404353237581
sieve,sel25_label_eq_0,25.6,1.0,0.6406761500051061,0.281932500001858,2.3078985500148974,1560.8509853098637,0.0,sieve_bruteforce,1343.5817694003636,530.5156054258282
sieve,sel25_label_eq_1,25.567,1.0,0.6636593199976915,0.25857250000171916,3.4251748999679417,1506.7971922755164,0.0,sieve_bruteforce,1345.333505735957,529.8248298979299
sieve,sel25_label_eq_2,23.467,1.0,0.5952287000002343,0.24520150000739704,2.357556300017903,1680.0265175378916,0.0,sieve_bruteforce,2363.637800178429,486.3059716403425
sieve,sel25_label_eq_3,25.367,1.0,0.6214307700014388,0.2589089999958105,2.301645400001462,1609.1897090929126,0.0,sieve_bruteforce,3156.2552829107412,525.6801767305407
sieve,sel10_label0_tag_lt_0.4,9.733,1.0,0.19920989000070222,0.095300500021267,0.227791099987937,5019.831093709629,0.0,sieve_bruteforce,3533.804105820134,201.70645414627842
sieve,sel5_label0_tag_lt_0.2,5.2,1.0,0.1651365100002522,0.07522749999111511,0.1343167500067466,6055.596064119756,0.0,sieve_bruteforce,6614.556403201789,107.76098235212135
