method,filter,selectivity,recall_at_10,mean_latency_ms,p50_latency_ms,p95_latency_ms,qps,index_build_time_s,fetch_k,effective_ef
hnsw_overfetch_post_filter,sel100_unfiltered,100.0,0.9980000000000001,0.2468454500046846,0.21018649999859917,0.2677460499455719,4051.1178147339647,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel75_label_ne_3,74.633,0.7239999999999999,0.3970443200034879,0.19987899997886416,2.189616250063864,2518.6105168088425,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel50_label_in_01,51.167,0.4720000000000001,0.5061029600005895,0.1991785000541313,2.2852408000289866,1975.8825358358608,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel25_label_eq_0,25.6,0.25600000000000006,0.41179039999860834,0.20071150004241645,2.211326550019521,2428.419895178177,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel25_label_eq_1,25.567,0.21600000000000003,0.5161941999961073,0.22467400003733928,2.2453364500393036,1937.255397305009,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel25_label_eq_2,23.467,0.252,0.464216910002051,0.2135005000241108,2.23505054996167,2154.1653878907205,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel25_label_eq_3,25.367,0.276,0.46521491000589776,0.2051994999874296,2.2693414499144637,2149.544175158364,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel10_label0_tag_lt_0.4,9.733,0.095,0.5350693299999421,0.1937074999887045,2.7873614000043276,1868.9166878619417,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel5_label0_tag_lt_0.2,5.2,0.053,0.6900676999987354,0.19916800005148616,3.111844499954939,1449.1331792544884,1.1230101585388184,10,100
hnsw_overfetch_post_filter,sel100_unfiltered,100.0,0.9980000000000001,0.8862896900029682,0.20377750001898676,4.26156234998416,1128.2992584474846,1.1230101585388184,25,100
hnsw_overfetch_post_filter,sel75_label_ne_3,74.633,0.8750000000000003,0.758042390002629,0.19209499998851243,4.190248199984126,1319.1874401595562,1.1230101585388184,25,100
hnsw_overfetch_post_filter,sel50_label_in_01,51.167,0.5750000000000001,0.8086711399937485,0.1870520000011311,7.423436850018558,1236.596621968889,1.1230101585388184,25,100
hnsw_overfetch_post_filter,sel25_label_eq_0,25.6,0.37000000000000005,0.5380526699980237,0.18594499999835534,3.314968749964462,1858.5541077301468,1.1230101585388184,25,100
hnsw_overfetch_post_filter,sel25_label_eq_1,25.567,0.2770000000000001,0.6417997199946512,0.1874050000196803,3.2241511500501474,1558.1184734831827,1.1230101585388184,25,100
hnsw_overfetch_post_filter,sel25_label_eq_2,23.467,0.4280000000000001,0.8909427399964898,0.19533249997039093,5.219587699940575,1122.4065869866563,1.1230101585388184,25,100
