method,filter,selectivity,recall_at_10,mean_latency_ms,p50_latency_ms,p95_latency_ms,qps,index_build_time_s,strategy_chosen,cardinality,tau_A,tau_B
unify_range_aware,range_sel90,89.4,1.0,1.9989128400021627,1.4517134999891823,4.275696400031848,500.2719378194189,1.271392583847046,B,2682,139,2682
unify_range_aware,range_sel75,74.533,1.0,3.330702709997695,2.7349770000171247,6.622443050014226,300.23694309261606,0.5066688060760498,C,2236,139,2682
unify_range_aware,range_sel50,50.2,1.0,2.3406416200032254,1.628068999991683,4.679499550024957,427.2332814446929,0.5066688060760498,C,1506,139,2682
unify_range_aware,range_sel25,25.167,1.0,0.929377029999614,0.7408354999824951,2.714218999977902,1075.989579816079,0.5066688060760498,C,755,139,2682
unify_range_aware,range_sel10,9.567,1.0,0.39279480000004696,0.3908205000016096,0.4542397500159722,2545.8585500619674,0.5066688060760498,C,287,139,2682
unify_range_aware,range_sel5,4.633,1.0,0.06162455000264799,0.058316999997032326,0.09043499998995229,16227.299022175906,0.0,A,139,139,2682
