method,filter,selectivity,recall_at_10,mean_latency_ms,p50_latency_ms,p95_latency_ms,qps,index_build_time_s
prefilter_exact,sel100_unfiltered,100.0,1.0,2.8859746899991023,2.840033999973457,6.083998299999394,346.50338530872943,0.0
prefilter_ann_hnsw,sel100_unfiltered,100.0,0.9980000000000001,0.1708005299974502,0.16881600004126085,0.20796894995100956,5854.782769204104,0.9370124340057373
prefilter_exact,sel75_label_ne_3,74.633,1.0,1.2835978900034206,0.5842940000206909,3.5237046999725385,779.0601774807648,0.0
prefilter_ann_hnsw,sel75_label_ne_3,74.633,0.9990000000000001,0.3160544999946069,0.15360349999582468,1.2566169999615768,3164.011270262135,0.7500638961791992
prefilter_exact,sel50_label_in_01,51.167,1.0,5.452346729996407,5.561910999972497,9.004748000000973,183.4072647101552,0.0
prefilter_ann_hnsw,sel50_label_in_01,51.167,0.9970000000000002,0.17005438999945,0.1673589999882097,0.21340314995654808,5880.471536213998,0.6029610633850098
prefilter_exact,sel25_label_eq_0,25.6,1.0,0.8300819600049181,0.3127484999936314,3.4986361000221664,1204.7003165736492,0.0
prefilter_ann_hnsw,sel25_label_eq_0,25.6,1.0,0.12229064000166545,0.11935049997191527,0.14588505000574511,8177.240711033822,0.14856505393981934
prefilter_exact,sel25_label_eq_1,25.567,1.0,0.7905774999994719,0.2731079999875874,4.302950749985257,1264.8981282678396,0.0
prefilter_ann_hnsw,sel25_label_eq_1,25.567,0.9960000000000001,0.22781375999443298,0.1109500000211483,0.3270946999293702,4389.550482044792,0.19953608512878418
prefilter_exact,sel25_label_eq_2,23.467,1.0,0.47102875999598837,0.22344499996052036,2.2720123000112835,2123.0126160630125,0.0
prefilter_ann_hnsw,sel25_label_eq_2,23.467,0.9990000000000001,0.23388884999917536,0.12275550000140356,1.1881763500809936,4275.535152716881,0.1670973300933838
prefilter_exact,sel25_label_eq_3,25.367,1.0,0.8400899299920184,0.3067424999585455,3.295686799975783,1190.3487523169108,0.0
prefilter_ann_hnsw,sel25_label_eq_3,25.367,1.0,0.23839218000375695,0.11359400002675102,2.1516178500348815,4194.768469268751,0.15166997909545898
prefilter_exact,sel10_label0_tag_lt_0.4,9.733,1.0,0.2729489799969542,0.12369199998829572,2.1687737999457113,3663.688356744029,0.0
prefilter_ann_hnsw,sel10_label0_tag_lt_0.4,9.733,1.0,0.2759643800027334,0.07869399996707216,1.0624465999626407,3623.656067460935,0.05841970443725586
prefilter_exact,sel5_label0_tag_lt_0.2,5.2,1.0,0.1181070100017223,0.07230950001257952,0.1730761000715117,8466.897942682805,0.0
prefilter_ann_hnsw,sel5_label0_tag_lt_0.2,5.2,1.0,0.14247323999939,0.04553150000674577,0.13797600003613078,7018.8619280665025,0.01091456413269043
